iter	Passed	Remaining
0	1	108
1	2	103
2	3	102
3	4	97
4	5	96
5	6	95
6	7	93
7	8	92
8	9	91
9	10	90
10	10	88
11	11	87
12	12	85
13	13	84
14	14	83
15	15	82
16	16	81
17	18	82
18	19	82
19	20	83
20	22	83
21	23	82
22	24	82
23	25	81
24	27	81
25	28	80
26	29	79
27	30	79
28	32	78
29	33	78
30	34	77
31	36	76
32	37	75
33	38	74
34	39	73
35	41	72
36	42	72
37	43	71
38	45	71
39	46	70
40	48	69
41	48	67
42	49	65
43	51	64
44	52	63
45	53	63
46	54	61
47	56	60
48	57	60
49	58	58
50	60	57
51	61	56
52	62	55
53	63	53
54	64	52
55	65	51
56	66	50
57	67	48
58	68	47
59	69	46
60	70	45
61	71	44
62	72	42
63	74	41
64	75	40
65	76	39
66	77	38
67	78	36
68	79	35
69	80	34
70	81	33
71	82	32
72	83	31
73	85	29
74	86	28
75	87	27
76	88	26
77	90	25
78	91	24
79	92	23
80	93	21
81	94	20
82	95	19
83	96	18
84	97	17
85	99	16
86	100	15
87	101	13
88	102	12
89	103	11
90	104	10
91	105	9
92	106	8
93	107	6
94	108	5
95	109	4
96	110	3
97	112	2
98	113	1
99	114	0
